REFNUM,UTMZONE,UTMEASTING,UTMNORTHIN
"82004422","19","338800","4670840"
"82004430","19","332860","4660820"
"75000293","19","323730","4716130"
"85000694","19","310590","4646100"
"76001999","19","325230","4693770"
"66000786","19","326200","4697470"
"70000730","19","330112","4691131"
"70000731","19","329726","4691264"
"70000732","19","325780","4693270"
"73001952","19","344700","4709560"
"73001953","19","329900","4691600"
"66000363","18","704640","4694300"
"70000542","19","317930","4693260"
"73001955","19","329690","4691390"
"74002052","18","697110","4668830"
"76002002","19","342240","4703500"
"79002682","19","309205","4668350"
"72001301","19","351720","4713810"
"72001302","19","391434","4609335"
"66000768","19","331200","4691590"
"76001970","19","327890","4691250"
"66000766","19","347860","4707120"
"66000783","19","344480","4709210"
"71000911","19","320625","4696300"
"66000132","19","330140","4691360"
"66000788","19","330100","4691190"
"70000733","19","329130","4690730"
"76002003","19","329990","4686380"
"68000044","19","327680","4697320"
"70000736","19","325611","4693310"
"70000737","19","316520","4694550"
"75000303","19","268710","4682690"
"72000133","18","699499","4675521"
"83003924","18","649420","4702300"
"83003928","18","654860","4729140"
"84002095","19","326060","4640520"
"84002101","19","326450","4641010"
"84002107","19","328365","4641220"
"84002109","19","329940","4638595"
"84002111","19","327390","4640990"
"84002114","19","327690","4640080"
"84002118","19","326710","4641580"
"84002121","19","327395","4640230"
"84002124","19","326295","4640250"
"84002130","19","321690","4642870"
"84002155","19","325115","4642560"
"84002165","19","326020","4640330"
"84002168","19","325150","4641020"
"84002176","19","326600","4638280"
"84002185","19","326260","4641030"
"84002214","19","325735","4640970"
"84002221","19","324450","4639810"
"84002223","19","323150","4642715"
"84002257","19","329650","4638520"
"84002280","19","332080","4638490"
"84002291","19","326130","4640620"
"82004456","19","324830","4685450"
"82004476","19","273614","4711810"
"75000259","18","697480","4675260"
"84002317","19","323000","4733000"
"84002323","19","323310","4732320"
"84002367","19","321510","4732140"
"84002382","19","321730","4732500"
"84002396","19","323220","4732590"
"84002431","19","321200","4732920"
"77000174","19","305860","4701940"
"83003980","18","697140","4674930"
"84002729","19","330120","4702220"
"84002630","19","326980","4709400"
